"","Character","Script"
"16669","DALEK"," Infiltrate and kill! "
"16688","DALEK"," This is the planet Mechanus. All forms of life are to be treated as hostile. "
"16689","DALEK"," Understood. Pass the order. All forms of life to be destroyed on contact. "
"16690","DALEK"," I obey. "
"16691","DALEK"," Is the humanoid robot standing by? "
"16692","DALEK"," It awaits your orders. "
"16693","DALEK"," Our enemies are moving through the jungle. You are to join them. "
"16695","DALEK"," We shall follow it as escort. Advise all units. "
"16729","DALEK"," The light source has vanished. "
"16730","DALEK"," Patrols will continue to advance eastward. Perceptors register much movement in that area. "
"16731","DALEK"," Alert! Alert! Alert! "
"16732","DALEK"," The patrol will continue. "
"16733","DALEK"," Have I sustained damage. "
"16734","DALEK"," No. The patrol will continue. "
"16795","DALEK"," The enemy time machine. With this in our control, they cannot escape. What is that noise? "
"16796","DALEK"," Hostile plant life! Destroy! Destroy! "
"16797","DALEK"," You destroy! "
"16798","DALEK"," There is no trace of the humans. "
"16799","DALEK"," Or the robot? "
"16800","DALEK"," No. Contact has been lost. "
"16801","DALEK"," We will organise a full scale search of the jungle at daybreak."
"16838","DALEK"," They are trapped in the rock face. "
"16839","DALEK"," Attack formation! Attack formation! Attack formation! Attack formation! Attack! "
"16840","DALEK"," Section four will enter the cave. Do not deviate. "
"16841","DALEK"," We obey. "
"16842","DALEK"," Section two will circle the cave. Take a position amongst the boulders and cut off any attempt to escape. "
"16843","DALEK"," We obey. "
"16844","DALEK"," We will take no prisoners. Eliminate on sight. "
"16845","DALEK"," We obey. "
"16846","DALEK"," Move to position. On my command, advance and attack. "
"16847","DALEK"," Align and advance! "
"16848","DALEK"," Advance and attack! "
"16849","DALEK"," Attack and destroy! Destroy and rejoice!"
"16850","DALEK"," Halt! You will be exterminated! "
"16852","DALEK"," You lie. You are not the robot. "
"16857","DALEK"," Advance. Advance and attack! Attack and destroy! Destroy and rejoice! "
"16859","DALEK"," Attack! Attack! Destroy!  "
"16866","DALEK"," They have escaped. "
"16867","DALEK"," Not possible. Perceptor readings indicated they were here. "
"16868","DALEK"," Subject walls to seismic detector tests.   It is required that we penetrate this wall. Section four will return to the time craft for the electrode unit. "
"16869","DALEK"," We obey."
"16930","DALEK"," Electrode unit ready. "
"16931","DALEK"," Operate. Increase power. Conveyor descending. "
"16932","DALEK"," By taking the humans, the Mechons have forced us to take action against them. We invade. "
"16933","DALEK"," Skaro reports they have many powerful weapons. We may sustain damage. "
"16934","DALEK"," The orders of the Dalek Supreme will be obeyed! The humans will be destroyed! The Mechons will not be permitted to stand in our way! We attack! We attack! "
"16935","DALEK"," Attack! Attack! Attack! Attack! Attack! Attack! Attack! "
"16982","DALEK"," Where are the space travellers? "
"16989","DALEK"," You will be annihilated! "
"16990","DALEK"," Dispatch a section to the roof area. "
"16991","DALEK"," I obey. "
"16992","DALEK"," Am exterminated! Am exterminated! Argh! "
"16993","DALEK"," Totally immobilised. "
"17033","DALEK"," To defy Daleks is death! "
"17034","DALEK"," We await commands! "
"17035","DALEK"," The operation will proceed at once. "
"17037","DALEK"," They must be destroyed. "
"17039","DALEK"," Exterminate them! Exterminate! "
"17041","DALEK"," Annihilate! "
"20704","DALEK"," One man remains. Find and destroy him! "
"20705","DALEK"," I obey! "
"20748","DALEK"," Control reports space vessel 1-11 in landing circuit. "
"20749","BLACKDALEK"," Is all prepared? "
"20750","DALEK"," Everything is ready. "
"20761","DALEK"," Space vessel 1-11 touch down completed. "
"20762","BLACKDALEK"," Excellent. I will await our guest here. "
"20779","DALEK"," Our new ally approaches! "
"20780","BLACKDALEK"," We welcome you as we welcome all allies of the Daleks. "
"20783","DALEK"," Inform base security that a further intruder craft has been located. "
"20784","DALEK"," I obey. "
"20785","DALEK"," Security patrols five and seven will converge on this area. Priority alert. Invaders to be located and destroyed.   A message from the Dalek Supreme. Operation Inferno to be put into execution at once. "
"20786","DALEK"," Inform all units. Evacuate patrols to safety areas. Confirm with units in position. On confirmation, start abbreviated countdown for Operation Inferno."
"20805","BLACKDALEK"," Report. "
"20806","DALEK"," Guardian of the Solar System Chen must be watched. His ambitions exceed his usefulness. "
"20807","BLACKDALEK"," When he has served his purpose, he, like the others, will be eliminated. No power in this universe can stop the Daleks."
"20832","DALEK"," Operate pyro-flames! "
"20833","DALEK"," We obey! "
"20885","DALEK"," Zephon. "
"20886","BLACKDALEK"," It was expected. His usefulness is over."
"20903","BLACKDALEK"," Where is the Master of Zephon? "
"20905","BLACKDALEK"," Search for him!"
"20927","DALEK"," Has the representative Zephon passed this way? "
"20928","DALEK"," He and the Earth creature went to the reception area. "
"20929","DALEK"," Has he returned? "
"20930","DALEK"," Only the creature from Earth returned this way. "
"20931","DALEK"," Zephon must still be there. Come with me. He has to be found. "
"20932","DALEK"," Representative Zephon? The meeting is about to begin. You will follow me. "
"20937","BLACKDALEK"," Take your place. "
"20939","BLACKDALEK"," This seventh meeting is now in session. Representatives, I have important news. The time destructor is now completed. It only requires the core to be fitted.   Mavic Chen, Guardian of the Solar System, will address the meeting. "
"20949","DALEK"," Locate intruders! Locate intruders! "
"20951","DALEK"," Seal off the area. "
"20952","DALEK"," Check alarm location. "
"20953","DALEK"," Report! Alarm! Report! "
"20970","DALEK"," Altitude 5 sections. Speed 3000. "
"20971","DALEK"," Vessel attained gravitational escape velocity. "
"20972","BLACKDALEK"," Cut in automatic trackers. "
"20973","DALEK"," All is ready for their space extinction. "
"20974","BLACKDALEK"," Do not destroy! That vessel must not be destroyed. "
"20975","DALEK"," Trackers operating. "
"20976","BLACKDALEK"," Prepare Neutronic Randomiser. "
"20977","DALEK"," Stand by Randomiser. "
"20978","BLACKDALEK"," The intruders must be caught alive. "
"21008","BLACKDALEK"," Representative Zephon! You deny that your negligence caused the loss of the taranium core? "
"21018","BLACKDALEK"," Have you nothing to say? "
"21023","BLACKDALEK"," You knew about the intruders. "
"21025","BLACKDALEK"," Silence! It is agreed that you are guilty of negligence. "
"21027","BLACKDALEK"," You threaten our unity. "
"21029","BLACKDALEK"," Execute! "
"21030","BLACKDALEK"," Where is the ship? "
"21031","DALEK"," Course 707. It is approaching the influence of the planet Desperus. "
"21032","BLACKDALEK"," Prepare pursuit ships. Stand by Randomiser."
"21065","DALEK"," Ship now at closest point to planet Desperus. "
"21066","BLACKDALEK"," Operate Randomiser! "
"21086","DALEK"," Space vessel's instruments now randomised. "
"21087","DALEK"," On course for planet Desperus. Impact in point 6. Remote control standing by. "
"21088","BLACKDALEK"," Cut in remote control. "
"21089","DALEK"," Now under Dalek control. "
"21090","BLACKDALEK"," Reduce descent velocity. Vessel must make soft landing. "
"21091","DALEK"," I obey. "
"21092","BLACKDALEK"," Pursuit ships to stand by. "
"21094","BLACKDALEK"," Dalek technology is the most advanced in the Universe. "
"21096","BLACKDALEK"," We shall. It is strange that the intruders took your space vessel. Perhaps they were indeed creatures from Earth. "
"21098","BLACKDALEK"," Very well. A vessel similar to your own craft will be put at your disposal. "
"21100","BLACKDALEK"," All will be in readiness. "
"21141","DALEK"," The exact location of the ship has been calculated. "
"21142","BLACKDALEK"," Inform the pursuit fleet. "
"21143","DALEK"," I obey.   Pursuit Fleet Commander calling control. We will land on planet Desperus at one hundred. "
"21144","BLACKDALEK"," When the taranium is recovered, the fugitives are to be eliminated. Is that understood? "
"21145","DALEK"," I obey. "
"21212","DALEK"," Only slight damage was sustained. We are ready to continue pursuit of Earth vessel. "
"21213","BLACKDALEK"," What is course of Earth vessel? "
"21214","DALEK"," Back on course 707 heading for Earth. "
"21215","BLACKDALEK"," Contact Mavic Chen through secret communication red. He must recapture the taranium and exterminate creatures who took it. "
"21216","DALEK"," I obey. "
"21217","BLACKDALEK"," Pursuit vessel, return to base. "
"21218","DALEK"," We obey. "
"21219","BLACKDALEK"," Destroy pursuit ship. They have failed in their mission. We will not tolerate mistakes."
"21256","BLACKDALEK"," We shall get it back. "
"21258","BLACKDALEK"," Mavic Chen is hungry for power. We have offered him more power than he has ever thought of. He will return to us the taranium core. "
"21260","BLACKDALEK"," He will not. He had been given instructions. "
"21262","BLACKDALEK"," It is not necessary for you to know. "
"21264","BLACKDALEK"," Representative Trantis. The Daleks will not fail and neither will any of its' allies. If anything tries to stop us we will destroy it. Nothing will be allowed to stand in the way of our plan to conquer the Universe! "
"21386","DALEK"," A signal from the planet Earth. "
"21387","BLACKDALEK"," Report. "
"21388","DALEK"," Mavic Chen has almost recaptured the taranium core and will be returning with it to land here in two Earth days. "
"21389","BLACKDALEK"," Have the fugitives been exterminated? "
"21390","DALEK"," The report did not say. But it is believed that they come from the tenth galaxy under the leadership of Trantis. "
"21392","BLACKDALEK"," We shall see. Has the report been confirmed? "
"21393","DALEK"," No. It was a suspicion by the Earth people. "
"21395","BLACKDALEK"," When Mavic Chen returns we shall discover the truth. By then those who stole the taranium will have been identified and exterminated!"
"21463","BLACKDALEK"," Has any message been received from Earth? "
"21464","DALEK"," No. "
"21465","BLACKDALEK"," Contract Mavic Chen and ask for a report. He should be bringing the taranium core by this time. "
"21466","DALEK"," I obey."
"21511","DALEK"," The pursuit ship reports that they have landed on the planet Mira. "
"21512","BLACKDALEK"," Have they located the fugitives? "
"21513","DALEK"," The detectors register strong readings. "
"21514","BLACKDALEK"," When the fugitives are captured, report at once. "
"21515","DALEK"," I obey."
"21530","DALEK"," Detector indicates being at close range. "
"21531","DALEK"," An alien device. There are small white creatures inside. They may be hostile. "
"21532","DALEK"," It is sending out signals. "
"21533","DALEK"," It may belong to the fugitives and register our presence here."
"21534","DALEK"," Destroy it.   Detector still registers being is very close. "
"21535","DALEK"," I can see nothing. "
"21536","DALEK"," There is a being near us. Fire at any movement. "
"21537","DALEK"," The beings appear to be invisible. We must continue the search for the fugitives. Keep constant detector readings. Open fire when it registers close proximity. "
"21538","DALEK"," I obey."
"21587","DALEK"," You are surrounded. You will come with us. "
"21589","DALEK"," You will hand over the taranium core. "
"21591","DALEK"," There is no guarantee. "
"21592","DALEK"," Seismic detector shows that the object that he is carrying is the taranium! "
"21593","DALEK"," You will surrender it! "
"21595","DALEK"," Silence! You will not speak! "
"21597","DALEK"," There will no more discussion. The core is to be handed over. Re-form line. Prepare to exterminate them. What is that noise?? "
"21598","DALEK"," The invisible creatures are attacking in force! "
"21599","DALEK"," Patrol alert! Patrol Alert! Annihilate them! Annihilate them! "
"21601","DALEK"," The invisible creatures have been exterminated. "
"21602","DALEK"," Search for the fugitives. They must not escape. "
"21603","DALEK"," We obey!"
"21604","DALEK"," Communication received from the planet Mira. "
"21605","BLACKDALEK"," Are the fugitives still evading capture? "
"21606","DALEK"," Yes. There has been no further contact. Reinforcements can be dispatched. "
"21607","BLACKDALEK"," Our force already there is sufficient for the task. Contact them and order that the taranium is to be recovered. Failure will not be tolerated!"
"21629","DALEK"," Cease firing before we sustain damage. Report! "
"21631","DALEK"," Alert all patrols. Alert all patrols. "
"21634","DALEK"," Surround pursuit ship. Surround pursuit ship. "
"21635","DALEK"," We obey. "
"21639","DALEK"," Avoid firing in area of taranium. "
"21641","DALEK"," We obey. "
"21644","DALEK"," Form up, attack formation. "
"21646","DALEK"," Prepare to board the ship! "
"21647","DALEK"," Exterminate them! Exterminate them! "
"21654","BLACKDALEK"," Mavic Chen, you have failed in your task. "
"21656","BLACKDALEK"," Failure will not be tolerated! "
"21658","BLACKDALEK"," You make your incompetence sound like an achievement. "
"21660","BLACKDALEK"," Report. "
"21661","DALEK"," The fugitives have stolen our pursuit ship and left the planet Mira. "
"21662","BLACKDALEK"," Stolen! Left the planet Mira! Is their course being computed? "
"21663","DALEK"," It is. "
"21664","BLACKDALEK"," What news of our force? "
"21665","DALEK"," They are stranded on the planet and under constant attack from the invisible creatures that inhibit it. "
"21666","BLACKDALEK"," Dispatch a rescue ship to their aid. They will be dealt with on their return. Meanwhile, I will personally supervise recovery of the core. "
"21667","DALEK"," I obey. "
"21669","BLACKDALEK"," It is "
"21671","BLACKDALEK"," It is not "
"21673","BLACKDALEK"," It is not an emergency! "
"21675","BLACKDALEK"," They may believe that they have successfully escaped from us, but we, the Daleks, are still in command!"
"21689","DALEK"," Pursuit ship has broken free of our control. "
"21690","BLACKDALEK"," Activate magnetised beam. "
"21691","DALEK"," Magnetised beam activated. "
"21693","BLACKDALEK"," We have temporarily lost control, but once the magnetised beam reaches them it will pull them to Kembel, where they will be exterminated! "
"21695","BLACKDALEK"," Of course! Of course!"
"21726","DALEK"," Dalek pursuit ship has entered the atmosphere. "
"21727","DALEK"," Reducing speed. Ten degrees of light. Eight. Six. "
"21729","BLACKDALEK"," Of course. And we shall deal with these fugitives as with all those who oppose us. "
"21731","BLACKDALEK"," Do you challenge us? "
"21733","BLACKDALEK"," Why? "
"21735","BLACKDALEK"," The Daleks will deal with them, there is no need for the delay in their extermination. "
"21737","BLACKDALEK"," It is essential that you do not allow your Earth people to become curious. "
"21739","BLACKDALEK"," You must forestall their questions until it is too late. "
"21741","BLACKDALEK"," Yes! We will have conquered the Solar System before our presence here is discovered. "
"21743","BLACKDALEK"," Once we have the taranium, there is nothing to stop us! "
"21745","BLACKDALEK"," The Dalek reception force should now be in position at the specified landing point. "
"21753","BLACKDALEK"," Pursuit ship is landing at precise point calculated. "
"21755","BLACKDALEK"," The taranium will be recovered. "
"21757","BLACKDALEK"," This time, there will no error. "
"21766","BLACKDALEK"," It is not acceptable. "
"21770","BLACKDALEK"," Very well. In front of his ship. "
"21775","BLACKDALEK"," Very well. "
"21779","BLACKDALEK"," Exterminate him!   The ray guns did not take effect! "
"21780","DALEK"," All were operated at full power. "
"21781","BLACKDALEK"," No human being can withstand their fire. "
"22154","DALEK"," Inform the Dalek Supreme that the Time Destructor is ready for testing. "
"22155","DALEK"," Are all circuits operational? "
"22156","DALEK"," Yes, the taranium core has been fitted. "
"22169","BLACKDALEK"," All is ready? "
"22170","DALEK"," It is. "
"22171","BLACKDALEK"," Programme it for testing. "
"22172","DALEK"," All that is needed is a subject. "
"22173","BLACKDALEK"," The subject has been selected. "
"22185","BLACKDALEK"," Prepare to activate the time destructor. "
"22186","DALEK"," Are the other two creatures to be present at the destruction?` "
"22187","BLACKDALEK"," Yes. Their greed for power is so great that they can be trusted. Activate the machine. "
"22188","DALEK"," I obey. "
"22194","BLACKDALEK"," The destructor is having no effect. "
"22195","DALEK"," The mechanism is functioning perfectly. The fault is in the taranium! "
"22196","BLACKDALEK"," The taranium core has failed. "
"22198","BLACKDALEK"," The Daleks do not make mistakes. You have lied to us. You have not given us the taranium. "
"22200","BLACKDALEK"," The core is worthless. "
"22202","BLACKDALEK"," We fitted the core you gave us. It has failed to activate the Time Destructor, therefore it is not taranium. "
"22208","BLACKDALEK"," Report to Skaro. They must send a time machine to us immediately. "
"22209","DALEK"," I obey. "
"22210","BLACKDALEK"," You will both wait here. "
"22212","BLACKDALEK"," Very well, you can return to your section. You, Mavic Chen, will wait here for the arrival of the time machine. "
"22214","DALEK"," What about the subject? "
"22215","BLACKDALEK"," The subject? Exterminate him.  (Emerging from the test chamber, Trantis believes for a moment that he's escaped death, before he's ruthlessly destroyed. As Trantis falls to the floor, Chen tries to conceal his horror at this callous demonstration."
"22255","DALEK"," Your order has been carried out. The time machine is ready to commence operations. "
"22256","BLACKDALEK"," Excellent. Organise a task force for the pursuit of the time travellers. "
"22257","DALEK"," I obey. "
"22258","BLACKDALEK"," Ascertain their position on the space time scope. "
"22259","DALEK"," I obey. "
"22260","BLACKDALEK"," Mavic Chen, you will accompany the task force. You will ensure that the taranium core is returned to Kembel. "
"22262","BLACKDALEK"," If you fail, or if we find that you have deceived us, you will suffer the same fate as the time travellers. Annihilation!"
"22323","DALEK"," The task force is now aboard. "
"22324","BLACKDALEK"," Commence count down. "
"22325","DALEK"," The enemy ship is preparing to land. "
"22326","BLACKDALEK"," Compute their bearing and advise task force. Task force will use the homing beam. "
"22327","DALEK"," Enemy ship located. Space time bearing, planet Earth, London, 1966."
"22332","DALEK"," Twenty two, twenty one, twenty, nineteen, eighteen "
"22338","DALEK"," Four, three, two, one, zero. "
"22339","BLACKDALEK"," Report to Skaro. Our time machine is now in pursuit. Nothing can match Dalek technology. The universe shall be ours. Conquest is assured. "
"22347","DALEK"," The time traveller is making no attempt to take off. "
"22359","DALEK"," Stand by for materialisation. "
"22360","DALEK"," Continuum stabiliser reading four, three, two, one, zero! "
"22361","DALEK"," Materialising now!"
"22385","DALEK"," Did we sustain damage? "
"22386","DALEK"," No. It was only inhabitants of this time and planet. "
"22387","DALEK"," Unimportant. "
"22388","DALEK"," Exterminate them on sight."
"22410","DALEK"," Dalek exterminations will not be questioned. "
"22412","DALEK"," Explain. "
"22417","DALEK"," Halt! "
"22422","DALEK"," The enemy ship! "
"22471","DALEK"," The time-traveller has not made contact. "
"22473","DALEK"," I obey."
"22482","DALEK"," The plan has failed. "
"22484","DALEK"," The Earth hour allowed has expired. "
"22486","DALEK"," The time traveller has deceived us! "
"22488","DALEK"," Silence! All Daleks will disembark. All forms of life will be treated as hostile. "
"22489","DALEK"," We obey! "
"22490","DALEK"," You, Chen, will come with us. "
"22492","DALEK"," Orders will not be questioned! "
"22528","DALEK"," You will join the other human. Move! "
"22529","DALEK"," Prepare to exterminate them. "
"22535","DALEK"," No more discussion. "
"22537","DALEK"," Is that true? "
"22539","DALEK"," Take them back to the time machine. "
"22540","DALEK"," I obey. "
"22542","DALEK"," You will return with us! "
"22548","DALEK"," The voice audio has been adjusted. "
"22549","DALEK"," What is its present range? "
"22550","DALEK"," Seven earth miles. "
"22551","DALEK"," Mavic Chen can issue the ultimatum. Bring Chen to the voice audio. "
"22552","DALEK"," I obey. "
"22566","DALEK"," Speak the ultimatum into the voice audio. "
"22568","DALEK"," Continue, voice audio is functioning. "
"22588","DALEK"," Put the prisoners on view. "
"22591","DALEK"," Silence! "
"22597","DALEK"," We could exterminate you now. "
"22603","DALEK"," We accept. Take the prisoners inside. "
"22605","DALEK"," One Dalek is capable of exterminating all!"
"22611","DALEK"," It is time for the rendezvous. "
"22618","DALEK"," There will no movement from you until the hand over is completed. "
"22624","DALEK"," You are released. "
"22627","DALEK"," Attack formation.   Help! Help!"
"22647","DALEK"," There is one of the time travellers. Stop his escape. Exterminate him! Exterminate him!   Combined fire!   They have escaped. We shall pursue them through eternity. The taranium core must be recovered! "
"22649","DALEK"," What do you mean? "
"22651","DALEK"," You have done well. Patrol, return to the time-machine. We must leave for Kembel at once."
"22664","DALEK"," Course for Kembel has now been computed. "
"22665","DALEK"," Has all preparations for take-off being made? "
"22666","DALEK"," They have. "
"22667","DALEK"," Prepare to dematerialise now."
"22677","BLACKDALEK"," Are you certain it is the real core? "
"22679","BLACKDALEK"," The final conference of the remaining members of the Galactic Council awaits you. "
"22682","BLACKDALEK"," Excellent. Is the core fitted to the time destructor? "
"22684","BLACKDALEK"," No. His arrogance and greed have a further use for us. Alert the council to attend their final conference."
"22721","BLACKDALEK"," Silence! The final conference is now in session. Mavic Chen, representative from the Solar System, will address the meeting. "
"22743","DALEK"," This meeting is over. "
"22745","DALEK"," There will be no more discussion. All representatives will come with us."
"22768","DALEK"," The Galactic Representatives have been detained as you instructed. "
"22769","BLACKDALEK"," They will be destroyed at the same time as the headquarters, at the start of the conquest of the planet Earth. Commence invasion count-down."
"22919","DALEK"," Assault division of five thousand Daleks awaits orders. "
"22920","BLACKDALEK"," The time destructor will be placed in the lead ship. "
"22921","DALEK"," Prisoners have been taken at entrance five. "
"22922","BLACKDALEK"," Prisoners? "
"22923","DALEK"," Dalek guard reports that the group consists of Mavic Chen and two of the time travellers. "
"22924","BLACKDALEK"," Have them bought here to main central control. "
"22925","DALEK"," I obey."
"22927","DALEK"," Central control has been advised. "
"22929","DALEK"," I will verify my orders. "
"22933","DALEK"," Representative Chen, new orders have been received. You are to escort the prisoners to the Dalek Supreme. "
"22935","DALEK"," But we are still to assist him."
"22936","DALEK"," The prisoners have arrived. "
"22937","BLACKDALEK"," Bring them in. "
"22938","DALEK"," I obey. Bring in the prisoners. "
"22940","BLACKDALEK"," Our alliance has ended. "
"22942","BLACKDALEK"," Take him away and exterminate him, but do not fire in here. You will damage us and some of the controls. "
"22944","BLACKDALEK"," Pursue and exterminate in safe area. Repeat, in safe area. "
"22958","DALEK"," Move back, all of you. "
"22960","BLACKDALEK"," Do not fire! "
"22962","BLACKDALEK"," Do what he says. "
"22972","BLACKDALEK"," Pursue and recapture. Pursue and recapture. Activate alarm! Activate alarm! "
"22973","DALEK"," Door control jammed. Contact broken. "
"22974","BLACKDALEK"," Correct fault immediately, then pursue and recapture."
"22990","DALEK"," Secondary door circuit completed. "
"22991","BLACKDALEK"," Operate. "
"22992","DALEK"," Obstacle clearing. "
"22993","BLACKDALEK"," Pursue and exterminate! "
"31637","DALEK"," I am your servant. "
"31640","DALEK","   I am your servant. I am your servant. I am your servant. I am your servant. I am your servant.   "
"31660","DALEK"," I am. "
"31664","DALEK"," He has gone. "
"31666","DALEK"," His order was wrong. I cannot serve human beings if I am immobilised. You gave me power. Your orders are right. I serve you. "
"31669","DALEK"," I obey. "
"31736","DALEK"," I am ready. "
"31738","DALEK"," Sodium ethoxide. C2 H5 ONA. "
"31742","DALEK"," H2 SO4. "
"31761","DALEK"," When heat is transformed into any other kind of energy or vice versa, the total quantity of energy remains invariable.   That is to say, the quantity of heat which disappears is equivalent to the quantity of other kind of energy produced. "
"31765","DALEK"," I have sustained no damage. "
"31819","DALEK"," I am your servant. What does this machine do? "
"31821","DALEK"," ADalek is bet, is not the same as a human. If I am to help, I must know everything. "
"31823","DALEK"," What is this machine? "
"31825","DALEK"," How accurate is it? "
"31827","DALEK"," Daleks can build computers with one hundred percent accuracy. "
"31829","DALEK"," If you provide materials and our own power unit, a computer will be built. "
"31831","DALEK"," Then you will get the materials? "
"31833","DALEK"," I will be ready to dictate the blueprint when you return. "
"31846","DALEK"," What are you doing here? "
"31848","DALEK"," Entry is restricted. "
"31850","DALEK"," That is an order. "
"31852","DALEK"," Ah! Ah! Ah! Ah! Ah! Stand back! "
"31858","DALEK"," I have sent the human being for materials. "
"31859","DALEK"," And power? "
"31860","DALEK"," Yes. Power we can turn into static. Then we will conquer. "
"31861","DALEK"," We will conquer. We will conquer. We will conquer. "
"31897","DALEK"," Yes. We are your servants. We do not need guns. "
"31899","DALEK"," Did you get our materials? "
"31901","DALEK"," And a power plant? "
"31903","DALEK"," We will get our power. "
"31904","DALEK"," We will get our power. We will get our power. We will get our power.   "
"31905","DALEK","   Turn back the power supply. "
"31907","DALEK"," We are your servants. "
"31909","DALEK"," We obey. "
"31911","DALEK"," To await your orders, master. "
"31913","DALEK"," It is ready. "
"31915","DALEK"," We understand the human mind."
"31938","DALEK"," We obey.   Do I bring liquid for your visitors? "
"31956","DALEK"," Have you finished your liquid? "
"32035","DALEK"," Good. "
"32038","DALEK"," Yes. We are your servants. "
"32072","DALEK"," I am your servant. "
"32093","DALEK"," I obey. "
"32125","DALEK"," You sent for me? "
"32126","DALEK"," Take up a position at the communications room. Watch and report."
"32127","DALEK"," I obey. "
"32129","DALEK"," Dalek nine complete. "
"32130","DALEK"," Check. "
"32132","DALEK"," Dalek ten complete. "
"32133","DALEK"," Check. "
"32134","DALEK"," Dalek eleven complete. "
"32135","DALEK"," Check. "
"32136","DALEK"," Dalek twelve complete. "
"32137","DALEK"," Check. "
"32138","DALEK"," Dalek thirteen complete. "
"32139","DALEK"," Check. "
"32140","DALEK"," Dalek fourteen complete. "
"32141","DALEK"," Check. "
"32142","DALEK"," Dalek fifteen complete. "
"32143","DALEK"," Check. "
"32144","DALEK"," Dalek sixteen complete. "
"32145","DALEK"," Check. "
"32146","DALEK"," Dalek seventeen complete. "
"32147","DALEK"," Check. "
"32148","DALEK"," Dalek eighteen complete.   "
"32161","DALEK"," We can store power. We will soon have our own. "
"32163","DALEK"," Why was the capsule door closed? "
"32165","DALEK"," Seal off the capsule's secret entrance. "
"32166","DALEK"," I obey. "
"32167","DALEK"," Wait! No more than three Daleks to be seen together at any one time. "
"32168","DALEK"," I obey. "
"32169","DALEK"," We are not ready yet to teach these human beings the law of the Daleks."
"32179","DALEK"," No. Why is this human restricted? "
"32186","DALEK"," We are your servants. "
"32192","DALEK"," When will the work be completed? "
"32194","DALEK"," Daleks operate on static electricity. "
"32196","DALEK"," To create static, the Daleks need a complete cable circuit. "
"32198","DALEK"," That is correct. When will the human being complete the work? "
"32229","DALEK"," Laying the new emergency power supply as you ordered, master. "
"32234","DALEK"," I am your servant. "
"32278","DALEK"," When will the work be completed? "
"32290","DALEK"," The other junction box is outside. "
"32342","DALEK"," Why do human beings kill human beings? "
"32344","DALEK"," Yes, master. I obey. "
"32347","DALEK"," Very well. "
"32349","DALEK"," Until now, we have had to recharge from the colony supply. With static power, the Daleks will be twice as   useful. "
"32355","DALEK"," I will follow you. "
"32357","DALEK"," I am your servant. "
"32373","DALEK"," Have they escaped? "
"32374","DALEK"," Yes, return to capsule and report. "
"32375","DALEK"," I obey. "
"32376","DALEK"," We are to wait here until the human beings fight among themselves. "
"32377","DALEK"," Then we will strike. "
"32378","DALEK"," And exterminate! "
"32379","DALEK"," Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate! Exterminate!"
"32388","DALEK"," Exterminate! Exterminate! Exterminate! "
"32389","DALEK"," Orders received. Exterminate all humans! "
"32390","DALEK"," Exterminate all humans! "
"32391","DALEK"," Exterminate! Annihilate! Destroy! Daleks conquer and destroy! "
"32392","DALEK"," Daleks conquer and destroy! Daleks conquer and destroy! Daleks conquer and destroy! Daleks conquer and destroy! Daleks conquer and destroy! Daleks conquer and destroy! Daleks conquer and destroy!  "
"32393","DALEK"," Take up positions, ready to exterminate all human beings. "
"32394","DALEK"," Exterminate! "
"32395","DALEK"," Exterminate! Exterminate! Exterminate! Exterminate!"
"32401","DALEK"," This area is restricted. "
"32404","DALEK"," Repeat. This area is restricted. "
"32405","DALEK"," Obey or you shall be exterminated. "
"32409","DALEK"," They will be exterminated."
"32456","DALEK"," Orders received. Daleks commence extermination. "
"32457","DALEK"," Exterminate! Exterminate! Exterminate! "
"32469","DALEK"," You will lead us to the middle of your party of human beings. "
"32471","DALEK"," We will fight   for you. "
"32475","DALEK"," But we are your friends. "
"32476","DALEK"," We will serve you. "
"32477","DALEK"," Take us to the centre of your group. "
"32498","DALEK"," Your usefulness is over. "
"32508","DALEK"," The static circuit is nearly complete. "
"32509","DALEK"," Soon we can abandon the power we are using. "
"32510","DALEK"," The humans are being exterminated. "
"32564","DALEK"," Static power is being stored. We can dismantle the human electric system. "
"32565","DALEK"," The law of the Daleks is in force. "
"32566","DALEK"," Extermination of humans. "
"32567","DALEK"," Our cables have been moved. "
"32569","DALEK"," What were you doing in there? "
"32571","DALEK"," Why? "
"32573","DALEK"," We do not need humans now. "
"32575","DALEK"," Yes, you gave us life. "
"32576","DALEK"," There are two "
"32577","DALEK"," Exterminate! Ah! Ah! Exterminate!   Out of control! Out of Control! "
"38566","DALEK"," Who are you? Who are you? Answer!   "
"38595","DALEK"," The human discovered our communications system. "
"38597","DALEK"," He would have betrayed us. "
"38599","DALEK"," Silence! "
"38601","DALEK"," That is of no consequence. "
"38603","DALEK"," There is only one form of life that matters. Dalek life. Obey your orders, Waterfield. "
"38687","DALEK"," You have not eaten. You will eat. That is an order. Answer! "
"38689","DALEK"," You will not feed the flying pests outside. Answer! "
"38691","DALEK"," Move to the machine. Move!  (Victoria steps between two columns of lights, and there is a brain-splitting whine."
"38693","DALEK"," Move. Move! The weight of your body has fallen by seventeen ounces. "
"38695","DALEK"," Speak when you are told to speak! More food will come. Eat it, or you will be fed by force! "
"38730","DALEK"," Doctor! Now do you understand? "
